1;Торжество мести;Мун Дон Ын (Сон Хе Гё) из-за школьного насилия пришлось бросить школу. С тех пор она жила с мыслями о мести. Спустя годы её главная обидчица вышла замуж и родила ребёнка. Бывшая жертва становится классным руководителем этого ребёнка, когда тот идёт в начальную школу. Так начинается её долгий и сложный путь мести. Она нацеливается не только на главную обидчицу, но и на всех тех, кто наблюдал за насилием, но ничего не сделал.Чу Ё Чжон – беззаботный и улыбчивый парень. Вместо того, чтобы быть сказочным принцем Дон Ын, он решает стать средством её мести.;2023;finish;драма
2;Скандал одного дня;В прошлом Нам Хэн Сон (Чон До Ён) была национальной спортсменкой, а сейчас управляет магазином гарниров. Она очень позитивный и упорный человек. В один момент она решает начать карьеру в сфере частного образования для студентов, готовящихся к вступительным экзаменам в университет, и на своём пути неожиданно сталкивается с Чхве Чи Ёлем.;2023;finish;комедия
3;Священный айдол;Священнослужитель Лембрари (Ким Мин Гю) обладает самой могущественной божественной силой из когда-либо существовавших. Во время сражения с дьяволом его неожиданно переносят в другой мир, где он оказывается заперт в небольшом общежитии в теле У Ён У.У Ён У является членом непопулярной айдол-группы Wild Animal. Группа существует уже 3 года, но находится на грани распада. Из-за необычного поведения У Ён У во время живого выступления  группа неожиданно становится популярной. Лембрари теперь должен привыкнуть к жизни в качестве члена айдол-группы.На основе одноименного вебтуна.Трансляция с 15.02.2023 по средам и четвергам в 22:30;2023;finish;романтика
4;Наша цветущая юность;Принц Ли Хван (Пак Хён Сик), подвергшийся таинственному проклятию, встречает женщину, обвиняемую в убийстве. Пока принц помогает снять с женщины ложные обвинения, а она освобождает его от проклятия, между ними расцветает роман.;2023;finish;детектив
5;Любовь во время звездопада;;2023;finish;фантастика
6;Скажи мне, что это любовь;Жизнь Сим У Чжу (Ли Сон Гён) стала несчастной после того, как её отец покинул семью из-за любовницы. После его смерти эта женщина, впоследствии ставшая законной женой,  продала дом, в котором жили Сим У Чжу с братом и сестрой, заставив их переехать.;2023;finish;романтика
7;Остров;;2023;finish;ужасы
8;Любовная битва;;2023;finish;романтика
9;Зажигалка и платье принцессы;;2022;finish;романтика
10;Сезон Ккок Ду;Высокопоставленный мрачный жнец Ккок Ду (Ким Джон Хён) каждые 99 лет должен сделать перерыв в своей работе в подземном мире и провести 49 дней в мире смертных, чтобы убивать плохих людей, которые по его мнению заслуживают смерти. В этот раз он оказывается в теле человека До Джин У, профессора хирургии в больнице, где встречает Хан Ге Чжоль (Им Су Хян), женщину-врача, обладающую таинственной способностью командовать Ккок Ду.;2023;finish;исторический
11;Агентство;Окунитесь в жизнь рекламного агентства, в самое закулисье отрасли, и почувствуйте себя на месте его сотрудников, сражающихся как на войне. ;2023;finish;драма
12;Запрет на браки в Чосоне;История молодого короля Ли Хона, который издает указ, запрещающий браки в Чосоне. Когда он был наследным принцем, умерла его любимая жена. Но и спустя 7 лет он не может пережить ее смерть. В течение этих лет королевская семья и члены правительства пытались добиться повторного брака короля, но безуспешно. Страна также ввела в действие указ о кымхонрюн, который запрещает всем незамужним женщинам выходить замуж до тех пор, пока король не женится. Люди возмущены запретом на брак. Однажды коварная женщина Йе Со Ран, чтобы выбраться из тюрьмы, утверждает, что дух покойной королевы вселился в ее тело, и появляется перед королем. Ее ложь со временем становится больше и наглее.;2022;finish;исторический
13;Светлый пепел луны;В мире наступил период, когда демоны находятся у власти, а заклинатели и смертные стали презренными существами. Старейшины решают отправить в прошлое Ли Сусу (Бай Лу), дочь главы клана Хэнъян, чтобы выяснить происхождение повелителя демонов и обезвредить его, пока он еще принадлежит к миру смертных. ;2023;in progress;романтика
14;Можем ли мы быть незнакомцами?;О Ха Ра (Кан Со Ра) - адвокат, специализирующаяся на разводах. Она и сама разведена. Ее бывший муж Ко Ин Бом (Чан Сын Джо) тоже адвокат. Они встречаются снова в качестве коллег.;2023;finish;романтика
15;Такси делюкс 2;Продолжение первого сезона.;2023;finish;боевик
16;Розовая теория;Мон, недавняя выпускница университета, устраивается интерном в крупную компанию, потому что с юности восхищается Сам, богатой председательницей этой компании. Однако, когда она встречает Сам, ее представления о ней рушатся, так как та оказывается совсем не такой, какой показывают ее медиа.По одноименной новелле.;2022;finish;романтика
17;Дорога домой;Школьная первая любовь Лу Яньчэня (Цзин Божань) и Гуй Сяо (Тань Сунъюнь) закончилась, когда Лу Яньчэнь уехал в другую страну, чтобы поступить в полицейскую академию, а у Гуй  Сяо изменились семейные обстоятельства. Восемь лет спустя они снова встречаются и понимают, что по-прежнему любят друг друга.;2023;finish;романтика
18;Алхимия душ 2: Свет и тень;Действие дорамы разворачивается спустя три года после событий первой части.Чан Ук (Ли Джэ Ук), молодой господин семьи Чан, благодаря ледяному камню возвращается живым во время инцидента 3-х летней давности. Теперь у людей его сила вызывает страх и они называют его «монстром, ловящим монстров», так как он охотится за оборотнями душ.Бу Ён (Го Юн Чжон) - таинственная девушка с лицом Нак Су, потерявшая память. Просит Чан Ука помочь ей покинуть собственной дом, в котором она живет словно в тюрьме, и обрести свободу.Со Юль (Хван Мин Хён) последние 3 года жил в родном городе Крепости Сохо. Все это время он боролся с неизвестной болезнью.Наследный принц Го Вон (Син Сын Хо) старается быть щедрым и доброжелательным, однако он ненавидит себя за то, что не осмелился раскрыть правду о существовании королевской звезды и уничтожить Джин Му, из-за чего ему неудобно общаться с Чан Уком.Пак Джин (Ю Джун Сан), взяв на себя ответственность за произошедшее, ушел со своей должности и живет простой жизнью. Хоть они с Ким До Чжу (О На Ра) и выяснили отношения, она все еще оберегает Чан Ука и не может оставить его одного.После инцидента главой Сонрима становится молодой Пак Дан Гу (Ю Ин Су), который проявляет таланты в бизнесе, а Чо Ён (Арин) из незрелой младшей дочери семьи Джин вырастает в полноценную леди. ;2023;finish;дружба
19;Запретная любовь;"Сяо До (Ван Хэди) - могущественный евнух, отвечающий за императорский двор; он организовал  дворцовый мятеж, который помог наследному принцу взойти на трон. Сяо До хладнокровен и беспощаден. Он сумел выжить в жестокой среде императорского дворца и достиг высокого положения, трагический опыт и многолетняя жизнь на острие ножа сделали его сердце холодным и темным... - до тех пор, пока он не встретил Бу Иньлоу (Чэнь Юйци) и не влюбился в нее.Какая судьба ждет этих двоих? И кто же на самом деле прячется под личиной Сяо До?По роману You Si Jie ""Fu Tu Ta"" (浮图塔).";2022;finish;исторический
20;Чун Цзы;История любви чистой и доброй девушки Чун Цзы, проклятой злой судьбой, и ее бессмертного учителя Ло Инь Фаня, который берет на себя ответственность защищать мир.На основе одноименного романа Шу Кэ.;2023;finish;сянься
21;Младший сын магната;Юн Хён У (Сон Джун Ки) более 10 лет верой и правдой служил владельцу конгломерата Sunyang Group. Мужчина управлял всеми его делами, но вместо благодарности был обвинён в растрате и убит.Переродившись  Чжин До Джуном, младшим сыном главы семейства Сунян, он хочет отомстить. Теперь он перехватывает власть над компанией.Чжин Ян Чхоль (Ли Сон Мин) – глава Sunyang Group. Он безжалостный и суровый человек с бесконечной жадностью до денег.Со Мин Ён (Син Хён Бин) - прокурор из отдела по борьбе с коррупцией. Она родом из богатой семьи потомственных юристов. Ради того, чтобы добиться справедливости, Со Мин Ён готова нарушить закон. Её отношения с Чжин До Чжуном балансируют на грани между любовью и ненавистью.На основе одноимённого веб-романа Сан Кёна.;2022;finish;драма
22;Мозговой штурм;Драма-комикс о науке о мозге, в которой двое мужчин, отчаянно пытающихся убить друг друга, раскрывают уголовное дело, связанное с редким заболеванием мозга.Син Ха Ру (Чон Ён Хва) - нейрохирург, врач в третьем поколении из богатой семьи.Гым Мён Се (Чха Тхэ Хён) - добрый и праведный детектив, но разговаривает и ведет себя так угрюмо, что незнакомые люди предполагают, что он может быть коррумпированным полицейским. Син Ха Ру и Гым Мён Се вместе раскрывают уголовные дела с помощью гипнотического следователя Соль Со Чжон (Квак Сон Ён).;2023;finish;детектив
23;Деловое предложение;;2022;finish;романтика
24;Могучая невестка;"Старшая сестра Павини влюбилась в Нопаная и, несмотря на запрет отца, вышла за него замуж. Однако мать и старшая сестра Ная не приняли невестку и издевались над ней. В результате несчастного случая девушка погибла. Павини решает заключить фиктивный брак с Наем, чтобы защитить своего племянника и отомстить семье мужчины. Она переезжает в дом ""мужа"" и затевает борьбу со свекровью и золовкой.© ФСГ THAI MIRACLE";2023;finish;романтика
25;Романтический гостевой дом;"Юн Дан О (Cин Йе Ын) наслаждалась комфортной жизнью любимой младшей дочери богатой семьи, но это больше невозможно. Теперь она является кормильцем своей семьи и управляет гостевым домом ""Ихвавон"". Среди гостей много ученых, приехавших в Ханьян сдать экзамен на госслужащих. У каждого из них свои тайны. Юн Дан О и жильцы объединяют полученную информацию и работают вместе, чтобы найти Ли Сола, пропавшего 13 лет назад.";2023;in progress;детектив
26;Алхимия душ;Дорама расскажет историю персонажей, чьи судьбы искажаются из-за магии, меняющей души. Действие разворачивается в вымышленной стране Дэхо, не существующей ни в истории, ни на картах.;2022;finish;романтика
27;Курьер;Со Ён Мин (Юн Чхан Ён) работает таксистом, чтобы обеспечить себя. Каким-то образом Со Ён Мин начинает брать в качестве своих пассажиров только призраков и исполняет их желания.;2023;finish;мистика
