1,Пак Сон Хун,1985-02-18,м,actor
2,Ли До Хён,1995-04-11,м,actor
3,Ём Хе Ран,1976-10-30,ж,actor
4,Сон Хе Гё,1981-11-22,-,actor
5,Чон Сон Иль,1980-02-03,м,actor
6,Им Джи Ён,1990-06-23,-,actor
7,Кан Гиль У,1986-11-10,м,actor
8,Квон Бом Тэк,1958-09-13,-,actor
9,Чхве Кван Иль,1971-06-08,-,actor
10,Ким Сон Хва,1971-05-01,ж,actor
11,Ли Мин Гу,,-,actor
12,Ким Гон У,1992-01-10,м,actor
13,Ли Му Сэн,1980-05-10,м,actor
14,Пак Джи А,1972-02-25,ж,actor
15,Син Йе Ын,1998-01-18,ж,actor
16,Юн Да Гён,1971-07-10,-,actor
17,Ким Квон,1982-01-29,м,actor
18,Син Ён Сук,1952-04-09,-,actor
19,Ким Чжон Ён,1972-07-27,ж,actor
20,Ли Хэ Ён,1970-09-07,-,actor
21,Ли Си Ён,1986-04-25,ж,actor
22,Чон Джи Со,1999-09-17,ж,actor
23,Ким Би Би,1978-02-22,-,actor
24,Чхве Су Ин,2004-03-05,-,actor
25,Хо Дон Вон,1980-06-09,м,actor
26,Ли Джун Ок,1979-04-12,м,actor
27,Сон Сук,1944-05-13,-,actor
28,Ли Ын Джу,1968-10-05,ж,actor
29,О Мин Э,,ж,actor
30,Пак Ю Миль,1980-01-18,ж,actor
31,Ан Джи Хе,1987-05-30,-,actor
32,Ким Сын Хва,1993-07-14,ж,actor
33,Чха Чжу Ён,1990-06-05,ж,actor
34,Ли Пён Чжун,1964-01-27,м,actor
35,Мин Ку Гён,,м,actor
36,Ким Джин,,ж,actor
37,Сон Кан Гук,1973-06-29,м,actor
38,Чон А Ми,1964-06-05,-,actor
39,Ли Ду Сок,1985-05-10,-,actor
40,Ким Хиора,1989-03-18,ж,actor
41,Пэ Ган Хи,1997-12-17,ж,actor
42,Пак Сан Чжон,,м,actor
43,Сон Джи У,1997-12-15,ж,actor
44,Хван Кван Хи,1988-08-25,-,actor
45,Рю Сон Хён,1971-07-17,м,actor
46,Чон Кён Хо,1983-08-31,-,actor
47,Чон До Ён,1973-02-11,ж,actor
48,Ли Кён Ук,1985-06-13,м,actor
49,Кан На Он,2001-04-15,ж,actor
50,Ро Юн Со,2000-01-25,ж,actor
51,Ким Сон Ён,1976-04-10,ж,actor
52,Ким Тхэ Чжон,1999-01-21,м,actor
53,Ли Мин Джэ,2000-01-21,м,actor
54,Ким Джун Вон,1975-09-15,-,actor
55,Ли Чжи Хэ,1980-07-04,ж,actor
56,Ким Ми Гён,1963-10-14,ж,actor
57,Хо Чон До,1978-12-24,м,actor
58,Хван Бо Ра,1983-10-02,ж,actor
59,Чхве Со Юль,2016-01-26,ж,actor
60,Чжи Иль Чжу,1985-11-07,м,actor
61,Гу Бон Джин,1979-02-01,м,actor
62,Хон Тхэ Ый,2000-04-15,м,actor
63,Син Джэ Ха,1993-04-02,м,actor
64,Чан Ён Нам,1973-11-25,ж,actor
65,Ли Ён,1995-02-27,-,actor
66,Ли Бон Рён,1981-02-07,ж,actor
67,О Ый Сик,1983-11-01,м,actor
68,Ли Чхэ Мин,2000-09-15,м,actor
69,Ким Си Ён,1980-02-28,-,actor
70,Ким Мин Гю,1994-12-25,м,actor
71,Ли Чан У,1986-06-01,м,actor
72,Го Бо Гёль,1988-05-02,ж,actor
73,Ким Со Ха,1980-09-12,м,actor
74,Так Джэ Хун,1968-07-24,-,actor
75,О Джин Сок,1995-01-07,м,actor
76,Чон Су Хён,1997-03-05,-,actor
77,Ким Со Ха,1993-09-23,м,actor
78,Хон Сын Бом,1991-12-28,-,actor
79,Чхве Джэ Хён,1995-07-25,м,actor
80,Чхве Дэ Чхоль,1978-10-16,-,actor
81,Ли Вон Джун,2002-03-08,м,actor
82,Йе Джи Вон,1973-02-01,ж,actor
83,Син Кю Хён,1995-12-19,м,actor
84,Пэк Со Бин,1984-09-07,м,actor
85,Син Мён Сон,1994-07-26,м,actor
86,Пак Сан Нам,1994-01-29,м,actor
87,Пак Хён Сик,1991-11-16,м,actor
88,Чон Со Ни,1991-03-20,ж,actor
89,Ли Мин Джи,1988-11-01,ж,actor
90,Ким Со Джун,2010-01-03,м,actor
91,Чон Да Ын,2001-01-26,ж,actor
92,Сон Пён Хо,1962-08-25,-,actor
93,Хон Су Хён,1981-02-15,ж,actor
